image_id,image_path,image_width,image_height,head_count,crowd_density,headwear_type,dataset_split,annotation_confidence,lighting
KumbhMela_Low_Day_Test_001.jpg,data/images/KumbhMela_Low_Day_Test_001.jpg,1600,1068,27,Low,Mixed,Test,0.85,Day
KumbhMela_Med_Day_Val_001.webp,data/images/KumbhMela_Med_Day_Val_001.webp,850,567,66,Medium,Mixed,Validation,0.85,Day
KumbhMela_Med_Day_Train_001.jpg,data/images/KumbhMela_Med_Day_Train_001.jpg,640,420,57,Medium,Mixed,Train,0.85,Day
KumbhMela_Low_Lowlight_Test_001.jpg,data/images/KumbhMela_Low_Lowlight_Test_001.jpg,3963,2642,21,Low,Mixed,Test,0.85,Low-light
KumbhMela_Med_Day_Val_002.webp,data/images/KumbhMela_Med_Day_Val_002.webp,2448,1836,121,Medium,Mixed,Validation,0.85,Day
KumbhMela_Low_Day_Val_001.webp,data/images/KumbhMela_Low_Day_Val_001.webp,1600,900,35,Low,Mixed,Validation,0.85,Day
KumbhMela_Med_Day_Val_003.webp,data/images/KumbhMela_Med_Day_Val_003.webp,770,513,53,Medium,Mixed,Validation,0.85,Day
HinduGathering_Low_Lowlight_Train_001.jpg,data/images/HinduGathering_Low_Lowlight_Train_001.jpg,1300,1033,8,Low,Mixed,Train,0.85,Low-light
GangaRiver_Med_Day_Train_001.jpg,data/images/GangaRiver_Med_Day_Train_001.jpg,1200,900,73,Medium,Mixed,Train,0.85,Day
Festival_Med_Lowlight_Train_001.jpg,data/images/Festival_Med_Lowlight_Train_001.jpg,612,408,66,Medium,Mixed,Train,0.85,Low-light
Festival_High_Lowlight_Train_001.jpg,data/images/Festival_High_Lowlight_Train_001.jpg,612,408,240,High,Mixed,Train,0.85,Low-light
Festival_High_Lowlight_Train_002.jpg,data/images/Festival_High_Lowlight_Train_002.jpg,612,408,312,High,Mixed,Train,0.85,Low-light
Festival_High_Day_Train_001.jpg,data/images/Festival_High_Day_Train_001.jpg,612,408,190,High,Mixed,Train,0.85,Day
Festival_Med_Day_Test_001.jpg,data/images/Festival_Med_Day_Test_001.jpg,612,409,92,Medium,Mixed,Test,0.85,Day
Festival_Low_Lowlight_Train_001.jpg,data/images/Festival_Low_Lowlight_Train_001.jpg,612,408,38,Low,Mixed,Train,0.85,Low-light
Festival_Low_Lowlight_Train_002.jpg,data/images/Festival_Low_Lowlight_Train_002.jpg,612,409,38,Low,Mixed,Train,0.85,Low-light
Festival_Med_Lowlight_Train_002.jpg,data/images/Festival_Med_Lowlight_Train_002.jpg,612,453,56,Medium,Mixed,Train,0.85,Low-light
Festival_Med_Day_Train_001.jpg,data/images/Festival_Med_Day_Train_001.jpg,612,408,72,Medium,Mixed,Train,0.85,Day
Festival_Med_Day_Train_002.jpg,data/images/Festival_Med_Day_Train_002.jpg,612,407,142,Medium,Mixed,Train,0.85,Day
Festival_Low_Lowlight_Train_003.jpg,data/images/Festival_Low_Lowlight_Train_003.jpg,612,408,37,Low,Mixed,Train,0.85,Low-light
Festival_Low_Lowlight_Test_001.jpg,data/images/Festival_Low_Lowlight_Test_001.jpg,612,408,27,Low,Mixed,Test,0.85,Low-light
